,survived,pclass,sex,age,sibsp,parch,fare,embarked,adult_male,alone
0,0,3,1,22.0,1,0,7.25,2,1,0
1,1,1,0,38.0,1,0,71.2833,0,0,0
2,1,3,0,26.0,0,0,7.925,2,0,1
3,1,1,0,35.0,1,0,53.1,2,0,0
4,0,3,1,35.0,0,0,8.05,2,1,1
5,0,3,1,28.0,0,0,8.4583,1,1,1
6,0,1,1,54.0,0,0,51.8625,2,1,1
7,0,3,1,2.0,3,1,21.075,2,0,0
8,1,3,0,27.0,0,2,11.1333,2,0,0
9,1,2,0,14.0,1,0,30.0708,0,0,0
10,1,3,0,4.0,1,1,16.7,2,0,0
11,1,1,0,58.0,0,0,26.55,2,0,1
12,0,3,1,20.0,0,0,8.05,2,1,1
13,0,3,1,39.0,1,5,31.275,2,1,0
14,0,3,0,14.0,0,0,7.8542,2,0,1
15,1,2,0,55.0,0,0,16.0,2,0,1
16,0,3,1,2.0,4,1,29.125,1,0,0
17,1,2,1,28.0,0,0,13.0,2,1,1
18,0,3,0,31.0,1,0,18.0,2,0,0
19,1,3,0,28.0,0,0,7.225,0,0,1
20,0,2,1,35.0,0,0,26.0,2,1,1
21,1,2,1,34.0,0,0,13.0,2,1,1
22,1,3,0,15.0,0,0,8.0292,1,0,1
23,1,1,1,28.0,0,0,35.5,2,1,1
24,0,3,0,8.0,3,1,21.075,2,0,0
25,1,3,0,38.0,1,5,31.3875,2,0,0
26,0,3,1,28.0,0,0,7.225,0,1,1
27,0,1,1,19.0,3,2,263.0,2,1,0
28,1,3,0,28.0,0,0,7.8792,1,0,1
29,0,3,1,28.0,0,0,7.8958,2,1,1
30,0,1,1,40.0,0,0,27.7208,0,1,1
31,1,1,0,28.0,1,0,146.5208,0,0,0
32,1,3,0,28.0,0,0,7.75,1,0,1
33,0,2,1,66.0,0,0,10.5,2,1,1
34,0,1,1,28.0,1,0,82.1708,0,1,0
35,0,1,1,42.0,1,0,52.0,2,1,0
36,1,3,1,28.0,0,0,7.2292,0,1,1
37,0,3,1,21.0,0,0,8.05,2,1,1
38,0,3,0,18.0,2,0,18.0,2,0,0
39,1,3,0,14.0,1,0,11.2417,0,0,0
40,0,3,0,40.0,1,0,9.475,2,0,0
41,0,2,0,27.0,1,0,21.0,2,0,0
42,0,3,1,28.0,0,0,7.8958,0,1,1
43,1,2,0,3.0,1,2,41.5792,0,0,0
44,1,3,0,19.0,0,0,7.8792,1,0,1
45,0,3,1,28.0,0,0,8.05,2,1,1
46,0,3,1,28.0,1,0,15.5,1,1,0
47,1,3,0,28.0,0,0,7.75,1,0,1
48,0,3,1,28.0,2,0,21.6792,0,1,0
49,0,3,0,18.0,1,0,17.8,2,0,0
50,0,3,1,7.0,4,1,39.6875,2,0,0
51,0,3,1,21.0,0,0,7.8,2,1,1
52,1,1,0,49.0,1,0,76.7292,0,0,0
53,1,2,0,29.0,1,0,26.0,2,0,0
54,0,1,1,65.0,0,1,61.9792,0,1,0
55,1,1,1,28.0,0,0,35.5,2,1,1
56,1,2,0,21.0,0,0,10.5,2,0,1
57,0,3,1,28.5,0,0,7.2292,0,1,1
58,1,2,0,5.0,1,2,27.75,2,0,0
59,0,3,1,11.0,5,2,46.9,2,0,0
60,0,3,1,22.0,0,0,7.2292,0,1,1
61,1,1,0,38.0,0,0,80.0,3,0,1
62,0,1,1,45.0,1,0,83.475,2,1,0
63,0,3,1,4.0,3,2,27.9,2,0,0
64,0,1,1,28.0,0,0,27.7208,0,1,1
65,1,3,1,28.0,1,1,15.2458,0,1,0
66,1,2,0,29.0,0,0,10.5,2,0,1
67,0,3,1,19.0,0,0,8.1583,2,1,1
68,1,3,0,17.0,4,2,7.925,2,0,0
69,0,3,1,26.0,2,0,8.6625,2,1,0
70,0,2,1,32.0,0,0,10.5,2,1,1
71,0,3,0,16.0,5,2,46.9,2,0,0
72,0,2,1,21.0,0,0,73.5,2,1,1
73,0,3,1,26.0,1,0,14.4542,0,1,0
74,1,3,1,32.0,0,0,56.4958,2,1,1
75,0,3,1,25.0,0,0,7.65,2,1,1
76,0,3,1,28.0,0,0,7.8958,2,1,1
77,0,3,1,28.0,0,0,8.05,2,1,1
78,1,2,1,0.83,0,2,29.0,2,0,0
79,1,3,0,30.0,0,0,12.475,2,0,1
80,0,3,1,22.0,0,0,9.0,2,1,1
81,1,3,1,29.0,0,0,9.5,2,1,1
82,1,3,0,28.0,0,0,7.7875,1,0,1
83,0,1,1,28.0,0,0,47.1,2,1,1
84,1,2,0,17.0,0,0,10.5,2,0,1
85,1,3,0,33.0,3,0,15.85,2,0,0
86,0,3,1,16.0,1,3,34.375,2,1,0
87,0,3,1,28.0,0,0,8.05,2,1,1
88,1,1,0,23.0,3,2,263.0,2,0,0
89,0,3,1,24.0,0,0,8.05,2,1,1
90,0,3,1,29.0,0,0,8.05,2,1,1
91,0,3,1,20.0,0,0,7.8542,2,1,1
92,0,1,1,46.0,1,0,61.175,2,1,0
93,0,3,1,26.0,1,2,20.575,2,1,0
94,0,3,1,59.0,0,0,7.25,2,1,1
95,0,3,1,28.0,0,0,8.05,2,1,1
96,0,1,1,71.0,0,0,34.6542,0,1,1
97,1,1,1,23.0,0,1,63.3583,0,1,0
98,1,2,0,34.0,0,1,23.0,2,0,0
99,0,2,1,34.0,1,0,26.0,2,1,0
100,0,3,0,28.0,0,0,7.8958,2,0,1
101,0,3,1,28.0,0,0,7.8958,2,1,1
102,0,1,1,21.0,0,1,77.2875,2,1,0
103,0,3,1,33.0,0,0,8.6542,2,1,1
104,0,3,1,37.0,2,0,7.925,2,1,0
105,0,3,1,28.0,0,0,7.8958,2,1,1
106,1,3,0,21.0,0,0,7.65,2,0,1
107,1,3,1,28.0,0,0,7.775,2,1,1
108,0,3,1,38.0,0,0,7.8958,2,1,1
109,1,3,0,28.0,1,0,24.15,1,0,0
110,0,1,1,47.0,0,0,52.0,2,1,1
111,0,3,0,14.5,1,0,14.4542,0,0,0
112,0,3,1,22.0,0,0,8.05,2,1,1
113,0,3,0,20.0,1,0,9.825,2,0,0
114,0,3,0,17.0,0,0,14.4583,0,0,1
115,0,3,1,21.0,0,0,7.925,2,1,1
116,0,3,1,70.5,0,0,7.75,1,1,1
117,0,2,1,29.0,1,0,21.0,2,1,0
118,0,1,1,24.0,0,1,247.5208,0,1,0
119,0,3,0,2.0,4,2,31.275,2,0,0
120,0,2,1,21.0,2,0,73.5,2,1,0
121,0,3,1,28.0,0,0,8.05,2,1,1
122,0,2,1,32.5,1,0,30.0708,0,1,0
123,1,2,0,32.5,0,0,13.0,2,0,1
124,0,1,1,54.0,0,1,77.2875,2,1,0
125,1,3,1,12.0,1,0,11.2417,0,0,0
126,0,3,1,28.0,0,0,7.75,1,1,1
127,1,3,1,24.0,0,0,7.1417,2,1,1
128,1,3,0,28.0,1,1,22.3583,0,0,0
129,0,3,1,45.0,0,0,6.975,2,1,1
130,0,3,1,33.0,0,0,7.8958,0,1,1
131,0,3,1,20.0,0,0,7.05,2,1,1
132,0,3,0,47.0,1,0,14.5,2,0,0
133,1,2,0,29.0,1,0,26.0,2,0,0
134,0,2,1,25.0,0,0,13.0,2,1,1
135,0,2,1,23.0,0,0,15.0458,0,1,1
136,1,1,0,19.0,0,2,26.2833,2,0,0
137,0,1,1,37.0,1,0,53.1,2,1,0
138,0,3,1,16.0,0,0,9.2167,2,1,1
139,0,1,1,24.0,0,0,79.2,0,1,1
140,0,3,0,28.0,0,2,15.2458,0,0,0
141,1,3,0,22.0,0,0,7.75,2,0,1
142,1,3,0,24.0,1,0,15.85,2,0,0
143,0,3,1,19.0,0,0,6.75,1,1,1
144,0,2,1,18.0,0,0,11.5,2,1,1
145,0,2,1,19.0,1,1,36.75,2,1,0
146,1,3,1,27.0,0,0,7.7958,2,1,1
147,0,3,0,9.0,2,2,34.375,2,0,0
148,0,2,1,36.5,0,2,26.0,2,1,0
149,0,2,1,42.0,0,0,13.0,2,1,1
150,0,2,1,51.0,0,0,12.525,2,1,1
151,1,1,0,22.0,1,0,66.6,2,0,0
152,0,3,1,55.5,0,0,8.05,2,1,1
153,0,3,1,40.5,0,2,14.5,2,1,0
154,0,3,1,28.0,0,0,7.3125,2,1,1
155,0,1,1,51.0,0,1,61.3792,0,1,0
156,1,3,0,16.0,0,0,7.7333,1,0,1
157,0,3,1,30.0,0,0,8.05,2,1,1
158,0,3,1,28.0,0,0,8.6625,2,1,1
159,0,3,1,28.0,8,2,69.55,2,1,0
160,0,3,1,44.0,0,1,16.1,2,1,0
161,1,2,0,40.0,0,0,15.75,2,0,1
162,0,3,1,26.0,0,0,7.775,2,1,1
163,0,3,1,17.0,0,0,8.6625,2,1,1
164,0,3,1,1.0,4,1,39.6875,2,0,0
165,1,3,1,9.0,0,2,20.525,2,0,0
166,1,1,0,28.0,0,1,55.0,2,0,0
167,0,3,0,45.0,1,4,27.9,2,0,0
168,0,1,1,28.0,0,0,25.925,2,1,1
169,0,3,1,28.0,0,0,56.4958,2,1,1
170,0,1,1,61.0,0,0,33.5,2,1,1
171,0,3,1,4.0,4,1,29.125,1,0,0
172,1,3,0,1.0,1,1,11.1333,2,0,0
173,0,3,1,21.0,0,0,7.925,2,1,1
174,0,1,1,56.0,0,0,30.6958,0,1,1
175,0,3,1,18.0,1,1,7.8542,2,1,0
176,0,3,1,28.0,3,1,25.4667,2,1,0
177,0,1,0,50.0,0,0,28.7125,0,0,1
178,0,2,1,30.0,0,0,13.0,2,1,1
179,0,3,1,36.0,0,0,0.0,2,1,1
180,0,3,0,28.0,8,2,69.55,2,0,0
181,0,2,1,28.0,0,0,15.05,0,1,1
182,0,3,1,9.0,4,2,31.3875,2,0,0
183,1,2,1,1.0,2,1,39.0,2,0,0
184,1,3,0,4.0,0,2,22.025,2,0,0
185,0,1,1,28.0,0,0,50.0,2,1,1
186,1,3,0,28.0,1,0,15.5,1,0,0
187,1,1,1,45.0,0,0,26.55,2,1,1
188,0,3,1,40.0,1,1,15.5,1,1,0
189,0,3,1,36.0,0,0,7.8958,2,1,1
190,1,2,0,32.0,0,0,13.0,2,0,1
191,0,2,1,19.0,0,0,13.0,2,1,1
192,1,3,0,19.0,1,0,7.8542,2,0,0
193,1,2,1,3.0,1,1,26.0,2,0,0
194,1,1,0,44.0,0,0,27.7208,0,0,1
195,1,1,0,58.0,0,0,146.5208,0,0,1
196,0,3,1,28.0,0,0,7.75,1,1,1
197,0,3,1,42.0,0,1,8.4042,2,1,0
198,1,3,0,28.0,0,0,7.75,1,0,1
199,0,2,0,24.0,0,0,13.0,2,0,1
200,0,3,1,28.0,0,0,9.5,2,1,1
201,0,3,1,28.0,8,2,69.55,2,1,0
202,0,3,1,34.0,0,0,6.4958,2,1,1
203,0,3,1,45.5,0,0,7.225,0,1,1
204,1,3,1,18.0,0,0,8.05,2,1,1
205,0,3,0,2.0,0,1,10.4625,2,0,0
206,0,3,1,32.0,1,0,15.85,2,1,0
207,1,3,1,26.0,0,0,18.7875,0,1,1
208,1,3,0,16.0,0,0,7.75,1,0,1
209,1,1,1,40.0,0,0,31.0,0,1,1
210,0,3,1,24.0,0,0,7.05,2,1,1
211,1,2,0,35.0,0,0,21.0,2,0,1
212,0,3,1,22.0,0,0,7.25,2,1,1
213,0,2,1,30.0,0,0,13.0,2,1,1
214,0,3,1,28.0,1,0,7.75,1,1,0
215,1,1,0,31.0,1,0,113.275,0,0,0
216,1,3,0,27.0,0,0,7.925,2,0,1
217,0,2,1,42.0,1,0,27.0,2,1,0
218,1,1,0,32.0,0,0,76.2917,0,0,1
219,0,2,1,30.0,0,0,10.5,2,1,1
220,1,3,1,16.0,0,0,8.05,2,1,1
221,0,2,1,27.0,0,0,13.0,2,1,1
222,0,3,1,51.0,0,0,8.05,2,1,1
223,0,3,1,28.0,0,0,7.8958,2,1,1
224,1,1,1,38.0,1,0,90.0,2,1,0
225,0,3,1,22.0,0,0,9.35,2,1,1
226,1,2,1,19.0,0,0,10.5,2,1,1
227,0,3,1,20.5,0,0,7.25,2,1,1
228,0,2,1,18.0,0,0,13.0,2,1,1
229,0,3,0,28.0,3,1,25.4667,2,0,0
230,1,1,0,35.0,1,0,83.475,2,0,0
231,0,3,1,29.0,0,0,7.775,2,1,1
232,0,2,1,59.0,0,0,13.5,2,1,1
233,1,3,0,5.0,4,2,31.3875,2,0,0
234,0,2,1,24.0,0,0,10.5,2,1,1
235,0,3,0,28.0,0,0,7.55,2,0,1
236,0,2,1,44.0,1,0,26.0,2,1,0
237,1,2,0,8.0,0,2,26.25,2,0,0
238,0,2,1,19.0,0,0,10.5,2,1,1
239,0,2,1,33.0,0,0,12.275,2,1,1
240,0,3,0,28.0,1,0,14.4542,0,0,0
241,1,3,0,28.0,1,0,15.5,1,0,0
242,0,2,1,29.0,0,0,10.5,2,1,1
243,0,3,1,22.0,0,0,7.125,2,1,1
244,0,3,1,30.0,0,0,7.225,0,1,1
245,0,1,1,44.0,2,0,90.0,1,1,0
246,0,3,0,25.0,0,0,7.775,2,0,1
247,1,2,0,24.0,0,2,14.5,2,0,0
248,1,1,1,37.0,1,1,52.5542,2,1,0
249,0,2,1,54.0,1,0,26.0,2,1,0
250,0,3,1,28.0,0,0,7.25,2,1,1
251,0,3,0,29.0,1,1,10.4625,2,0,0
252,0,1,1,62.0,0,0,26.55,2,1,1
253,0,3,1,30.0,1,0,16.1,2,1,0
254,0,3,0,41.0,0,2,20.2125,2,0,0
255,1,3,0,29.0,0,2,15.2458,0,0,0
256,1,1,0,28.0,0,0,79.2,0,0,1
257,1,1,0,30.0,0,0,86.5,2,0,1
258,1,1,0,35.0,0,0,512.3292,0,0,1
259,1,2,0,50.0,0,1,26.0,2,0,0
260,0,3,1,28.0,0,0,7.75,1,1,1
261,1,3,1,3.0,4,2,31.3875,2,0,0
262,0,1,1,52.0,1,1,79.65,2,1,0
263,0,1,1,40.0,0,0,0.0,2,1,1
264,0,3,0,28.0,0,0,7.75,1,0,1
265,0,2,1,36.0,0,0,10.5,2,1,1
266,0,3,1,16.0,4,1,39.6875,2,1,0
267,1,3,1,25.0,1,0,7.775,2,1,0
268,1,1,0,58.0,0,1,153.4625,2,0,0
269,1,1,0,35.0,0,0,135.6333,2,0,1
270,0,1,1,28.0,0,0,31.0,2,1,1
271,1,3,1,25.0,0,0,0.0,2,1,1
272,1,2,0,41.0,0,1,19.5,2,0,0
273,0,1,1,37.0,0,1,29.7,0,1,0
274,1,3,0,28.0,0,0,7.75,1,0,1
275,1,1,0,63.0,1,0,77.9583,2,0,0
276,0,3,0,45.0,0,0,7.75,2,0,1
277,0,2,1,28.0,0,0,0.0,2,1,1
278,0,3,1,7.0,4,1,29.125,1,0,0
279,1,3,0,35.0,1,1,20.25,2,0,0
280,0,3,1,65.0,0,0,7.75,1,1,1
281,0,3,1,28.0,0,0,7.8542,2,1,1
282,0,3,1,16.0,0,0,9.5,2,1,1
283,1,3,1,19.0,0,0,8.05,2,1,1
284,0,1,1,28.0,0,0,26.0,2,1,1
285,0,3,1,33.0,0,0,8.6625,0,1,1
286,1,3,1,30.0,0,0,9.5,2,1,1
287,0,3,1,22.0,0,0,7.8958,2,1,1
288,1,2,1,42.0,0,0,13.0,2,1,1
289,1,3,0,22.0,0,0,7.75,1,0,1
290,1,1,0,26.0,0,0,78.85,2,0,1
291,1,1,0,19.0,1,0,91.0792,0,0,0
292,0,2,1,36.0,0,0,12.875,0,1,1
293,0,3,0,24.0,0,0,8.85,2,0,1
294,0,3,1,24.0,0,0,7.8958,2,1,1
295,0,1,1,28.0,0,0,27.7208,0,1,1
296,0,3,1,23.5,0,0,7.2292,0,1,1
297,0,1,0,2.0,1,2,151.55,2,0,0
298,1,1,1,28.0,0,0,30.5,2,1,1
299,1,1,0,50.0,0,1,247.5208,0,0,0
300,1,3,0,28.0,0,0,7.75,1,0,1
301,1,3,1,28.0,2,0,23.25,1,1,0
302,0,3,1,19.0,0,0,0.0,2,1,1
303,1,2,0,28.0,0,0,12.35,1,0,1
304,0,3,1,28.0,0,0,8.05,2,1,1
305,1,1,1,0.92,1,2,151.55,2,0,0
306,1,1,0,28.0,0,0,110.8833,0,0,1
307,1,1,0,17.0,1,0,108.9,0,0,0
308,0,2,1,30.0,1,0,24.0,0,1,0
309,1,1,0,30.0,0,0,56.9292,0,0,1
310,1,1,0,24.0,0,0,83.1583,0,0,1
311,1,1,0,18.0,2,2,262.375,0,0,0
312,0,2,0,26.0,1,1,26.0,2,0,0
313,0,3,1,28.0,0,0,7.8958,2,1,1
314,0,2,1,43.0,1,1,26.25,2,1,0
315,1,3,0,26.0,0,0,7.8542,2,0,1
316,1,2,0,24.0,1,0,26.0,2,0,0
317,0,2,1,54.0,0,0,14.0,2,1,1
318,1,1,0,31.0,0,2,164.8667,2,0,0
319,1,1,0,40.0,1,1,134.5,0,0,0
320,0,3,1,22.0,0,0,7.25,2,1,1
321,0,3,1,27.0,0,0,7.8958,2,1,1
322,1,2,0,30.0,0,0,12.35,1,0,1
323,1,2,0,22.0,1,1,29.0,2,0,0
324,0,3,1,28.0,8,2,69.55,2,1,0
325,1,1,0,36.0,0,0,135.6333,0,0,1
326,0,3,1,61.0,0,0,6.2375,2,1,1
327,1,2,0,36.0,0,0,13.0,2,0,1
328,1,3,0,31.0,1,1,20.525,2,0,0
329,1,1,0,16.0,0,1,57.9792,0,0,0
330,1,3,0,28.0,2,0,23.25,1,0,0
331,0,1,1,45.5,0,0,28.5,2,1,1
332,0,1,1,38.0,0,1,153.4625,2,1,0
333,0,3,1,16.0,2,0,18.0,2,1,0
334,1,1,0,28.0,1,0,133.65,2,0,0
335,0,3,1,28.0,0,0,7.8958,2,1,1
336,0,1,1,29.0,1,0,66.6,2,1,0
337,1,1,0,41.0,0,0,134.5,0,0,1
338,1,3,1,45.0,0,0,8.05,2,1,1
339,0,1,1,45.0,0,0,35.5,2,1,1
340,1,2,1,2.0,1,1,26.0,2,0,0
341,1,1,0,24.0,3,2,263.0,2,0,0
342,0,2,1,28.0,0,0,13.0,2,1,1
343,0,2,1,25.0,0,0,13.0,2,1,1
344,0,2,1,36.0,0,0,13.0,2,1,1
345,1,2,0,24.0,0,0,13.0,2,0,1
346,1,2,0,40.0,0,0,13.0,2,0,1
347,1,3,0,28.0,1,0,16.1,2,0,0
348,1,3,1,3.0,1,1,15.9,2,0,0
349,0,3,1,42.0,0,0,8.6625,2,1,1
350,0,3,1,23.0,0,0,9.225,2,1,1
351,0,1,1,28.0,0,0,35.0,2,1,1
352,0,3,1,15.0,1,1,7.2292,0,0,0
353,0,3,1,25.0,1,0,17.8,2,1,0
354,0,3,1,28.0,0,0,7.225,0,1,1
355,0,3,1,28.0,0,0,9.5,2,1,1
356,1,1,0,22.0,0,1,55.0,2,0,0
357,0,2,0,38.0,0,0,13.0,2,0,1
358,1,3,0,28.0,0,0,7.8792,1,0,1
359,1,3,0,28.0,0,0,7.8792,1,0,1
360,0,3,1,40.0,1,4,27.9,2,1,0
361,0,2,1,29.0,1,0,27.7208,0,1,0
362,0,3,0,45.0,0,1,14.4542,0,0,0
363,0,3,1,35.0,0,0,7.05,2,1,1
364,0,3,1,28.0,1,0,15.5,1,1,0
365,0,3,1,30.0,0,0,7.25,2,1,1
366,1,1,0,60.0,1,0,75.25,0,0,0
367,1,3,0,28.0,0,0,7.2292,0,0,1
368,1,3,0,28.0,0,0,7.75,1,0,1
369,1,1,0,24.0,0,0,69.3,0,0,1
370,1,1,1,25.0,1,0,55.4417,0,1,0
371,0,3,1,18.0,1,0,6.4958,2,1,0
372,0,3,1,19.0,0,0,8.05,2,1,1
373,0,1,1,22.0,0,0,135.6333,0,1,1
374,0,3,0,3.0,3,1,21.075,2,0,0
375,1,1,0,28.0,1,0,82.1708,0,0,0
376,1,3,0,22.0,0,0,7.25,2,0,1
377,0,1,1,27.0,0,2,211.5,0,1,0
378,0,3,1,20.0,0,0,4.0125,0,1,1
379,0,3,1,19.0,0,0,7.775,2,1,1
380,1,1,0,42.0,0,0,227.525,0,0,1
381,1,3,0,1.0,0,2,15.7417,0,0,0
382,0,3,1,32.0,0,0,7.925,2,1,1
383,1,1,0,35.0,1,0,52.0,2,0,0
384,0,3,1,28.0,0,0,7.8958,2,1,1
385,0,2,1,18.0,0,0,73.5,2,1,1
386,0,3,1,1.0,5,2,46.9,2,0,0
387,1,2,0,36.0,0,0,13.0,2,0,1
388,0,3,1,28.0,0,0,7.7292,1,1,1
389,1,2,0,17.0,0,0,12.0,0,0,1
390,1,1,1,36.0,1,2,120.0,2,1,0
391,1,3,1,21.0,0,0,7.7958,2,1,1
392,0,3,1,28.0,2,0,7.925,2,1,0
393,1,1,0,23.0,1,0,113.275,0,0,0
394,1,3,0,24.0,0,2,16.7,2,0,0
395,0,3,1,22.0,0,0,7.7958,2,1,1
396,0,3,0,31.0,0,0,7.8542,2,0,1
397,0,2,1,46.0,0,0,26.0,2,1,1
398,0,2,1,23.0,0,0,10.5,2,1,1
399,1,2,0,28.0,0,0,12.65,2,0,1
400,1,3,1,39.0,0,0,7.925,2,1,1
401,0,3,1,26.0,0,0,8.05,2,1,1
402,0,3,0,21.0,1,0,9.825,2,0,0
403,0,3,1,28.0,1,0,15.85,2,1,0
404,0,3,0,20.0,0,0,8.6625,2,0,1
405,0,2,1,34.0,1,0,21.0,2,1,0
406,0,3,1,51.0,0,0,7.75,2,1,1
407,1,2,1,3.0,1,1,18.75,2,0,0
408,0,3,1,21.0,0,0,7.775,2,1,1
409,0,3,0,28.0,3,1,25.4667,2,0,0
410,0,3,1,28.0,0,0,7.8958,2,1,1
411,0,3,1,28.0,0,0,6.8583,1,1,1
412,1,1,0,33.0,1,0,90.0,1,0,0
413,0,2,1,28.0,0,0,0.0,2,1,1
414,1,3,1,44.0,0,0,7.925,2,1,1
415,0,3,0,28.0,0,0,8.05,2,0,1
416,1,2,0,34.0,1,1,32.5,2,0,0
417,1,2,0,18.0,0,2,13.0,2,0,0
418,0,2,1,30.0,0,0,13.0,2,1,1
419,0,3,0,10.0,0,2,24.15,2,0,0
420,0,3,1,28.0,0,0,7.8958,0,1,1
421,0,3,1,21.0,0,0,7.7333,1,1,1
422,0,3,1,29.0,0,0,7.875,2,1,1
423,0,3,0,28.0,1,1,14.4,2,0,0
424,0,3,1,18.0,1,1,20.2125,2,1,0
425,0,3,1,28.0,0,0,7.25,2,1,1
426,1,2,0,28.0,1,0,26.0,2,0,0
427,1,2,0,19.0,0,0,26.0,2,0,1
428,0,3,1,28.0,0,0,7.75,1,1,1
429,1,3,1,32.0,0,0,8.05,2,1,1
430,1,1,1,28.0,0,0,26.55,2,1,1
431,1,3,0,28.0,1,0,16.1,2,0,0
432,1,2,0,42.0,1,0,26.0,2,0,0
433,0,3,1,17.0,0,0,7.125,2,1,1
434,0,1,1,50.0,1,0,55.9,2,1,0
435,1,1,0,14.0,1,2,120.0,2,0,0
436,0,3,0,21.0,2,2,34.375,2,0,0
437,1,2,0,24.0,2,3,18.75,2,0,0
438,0,1,1,64.0,1,4,263.0,2,1,0
439,0,2,1,31.0,0,0,10.5,2,1,1
440,1,2,0,45.0,1,1,26.25,2,0,0
441,0,3,1,20.0,0,0,9.5,2,1,1
442,0,3,1,25.0,1,0,7.775,2,1,0
443,1,2,0,28.0,0,0,13.0,2,0,1
444,1,3,1,28.0,0,0,8.1125,2,1,1
445,1,1,1,4.0,0,2,81.8583,2,0,0
